Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,tournament,ta_avg_rating,ta_avg_acs,ta_avg_kd,ta_avg_adr,ta_avg_fk,ta_avg_hs,ta_eco_$ (won),ta_eco_$$ (won),ta_eco_$$$ (won),ta_eco_Eco (won),ta_eco_Pistol Won,ta_total_2k,ta_total_3k,ta_total_4k,ta_total_5k,ta_total_clutches,ta_draft_ban,ta_draft_pick,tb_avg_rating,tb_avg_acs,tb_avg_kd,tb_avg_adr,tb_avg_fk,tb_avg_hs,tb_eco_$ (won),tb_eco_$$ (won),tb_eco_$$$ (won),tb_eco_Eco (won),tb_eco_Pistol Won,tb_total_2k,tb_total_3k,tb_total_4k,tb_total_5k,tb_total_clutches,tb_draft_ban,tb_draft_pick
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,0,2,Natus Vincere won,vct_2023,1.0484285714285715,206.4,1.6857142857142857,138.37142857142857,3.5714285714285716,29.085714285714285,2.0,54.0,148.0,32.0,30.0,284.0,94.0,10.0,4.0,18.0,8.0,4.0,0.944,190.75714285714287,-1.6857142857142857,127.95714285714286,2.7142857142857144,32.214285714285715,0.0,54.0,136.0,14.0,10.0,266.0,74.0,18.0,0.0,18.0,8.0,4.0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,LOUD,2,1,DRX won,vct_2023,1.014,205.0,0.5,133.3,2.8,27.45,6.0,18.0,48.0,6.0,6.0,94.0,36.0,4.0,0.0,14.0,2.0,1.0,1.0154999999999998,196.2,-0.5,126.45,4.0,22.85,0.0,20.0,28.0,10.0,6.0,84.0,32.0,8.0,0.0,4.0,2.0,1.0
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,T1,2,0,FUT Esports won,vct_2023,1.192,221.86666666666667,4.333333333333333,145.0,3.466666666666667,30.433333333333334,4.0,16.0,76.0,10.0,10.0,132.0,44.0,4.0,2.0,8.0,4.0,2.0,0.8393333333333334,187.93333333333334,-4.333333333333333,122.76666666666667,2.2666666666666666,27.533333333333335,2.0,22.0,36.0,6.0,6.0,92.0,38.0,4.0,2.0,12.0,4.0,2.0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,FunPlus Phoenix,2,0,Evil Geniuses won,vct_2023,1.1473333333333333,209.4,3.2,140.2,3.2,28.8,0.0,8.0,38.0,6.0,6.0,46.0,24.0,4.0,0.0,6.0,2.0,1.0,0.856,187.73333333333332,-3.2,121.13333333333334,2.4,32.06666666666667,0.0,14.0,16.0,2.0,2.0,48.0,12.0,4.0,0.0,2.0,2.0,1.0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,DRX,1,2,DRX won,vct_2023,1.0210000000000001,194.35,0.7,133.0,3.4,28.75,0.0,22.0,48.0,6.0,6.0,108.0,24.0,0.0,0.0,6.0,2.0,1.0,1.0115,191.0,-0.8,122.35,4.2,30.2,2.0,26.0,42.0,6.0,6.0,98.0,28.0,4.0,0.0,8.0,2.0,1.0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,Bilibili Gaming,0,2,Bilibili Gaming won,vct_2023,0.9193333333333334,202.8,-1.7333333333333334,130.2,3.6,20.666666666666668,0.0,18.0,16.0,6.0,6.0,48.0,24.0,4.0,2.0,6.0,2.0,1.0,1.088666666666667,215.53333333333333,1.7333333333333334,134.2,2.6666666666666665,21.666666666666668,0.0,18.0,32.0,4.0,2.0,62.0,22.0,6.0,2.0,2.0,2.0,1.0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ZETA DIVISION,2,0,FNATIC won,vct_2023,1.25,226.13333333333333,6.533333333333333,149.66666666666666,3.3333333333333335,27.733333333333334,0.0,18.0,26.0,8.0,8.0,40.0,22.0,2.0,2.0,2.0,2.0,1.0,0.7366666666666667,164.0,-6.533333333333333,103.73333333333333,1.6,21.733333333333334,2.0,6.0,14.0,0.0,0.0,40.0,8.0,2.0,0.0,2.0,2.0,1.0
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,FUT Esports,2,0,Evil Geniuses won,vct_2023,1.0546666666666666,208.8,1.2,140.73333333333332,3.7333333333333334,24.6,2.0,14.0,36.0,4.0,4.0,64.0,26.0,4.0,0.0,6.0,2.0,1.0,0.9973333333333334,207.0,-1.2,133.46666666666667,2.933333333333333,27.533333333333335,0.0,6.0,34.0,4.0,4.0,70.0,20.0,4.0,2.0,6.0,2.0,1.0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,KRÜ Esports,2,0,Paper Rex won,vct_2023,1.1213333333333333,204.6,3.6,132.86666666666667,2.8,28.666666666666668,0.0,12.0,38.0,2.0,2.0,56.0,24.0,0.0,0.0,0.0,2.0,1.0,0.8993333333333333,177.6,-3.6,118.2,2.6666666666666665,25.466666666666665,0.0,6.0,18.0,6.0,6.0,42.0,16.0,0.0,0.0,0.0,2.0,1.0
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,Giants Gaming,2,1,EDward Gaming won,vct_2023,1.048,212.6,2.1714285714285713,138.0,3.2,26.65714285714286,2.0,36.0,78.0,14.0,14.0,136.0,48.0,18.0,2.0,14.0,4.0,2.0,0.9768571428571428,199.74285714285713,-2.1714285714285713,132.97142857142856,3.2,26.285714285714285,2.0,32.0,52.0,8.0,6.0,134.0,42.0,8.0,0.0,18.0,4.0,2.0
